date,     hour,   close_price,max_price,  min_price,  Total volume in BTC
20151226, 010000, 0.00641191, 0.00690000, 0.00603078, 178.639095
20151227, 010000, 0.00644999, 0.00700000, 0.00637851, 132.597701
20151228, 010000, 0.00638782, 0.00661990, 0.00620163, 47.1384934
20151229, 010000, 0.00712105, 0.00737498, 0.00635012, 179.477914
20151230, 010000, 0.00801061, 0.00879398, 0.00672871, 501.233295
20151231, 010000, 0.00774935, 0.00970000, 0.00701000, 810.523770
20160101, 010000, 0.00814993, 0.00819736, 0.00717107, 242.821082
20160102, 010000, 0.00801305, 0.00829740, 0.00746174, 137.644259
20160103, 010000, 0.00766679, 0.00806877, 0.00762278, 66.3896879
20160104, 010000, 0.00767000, 0.00784386, 0.00730076, 151.602008
20160105, 010000, 0.00775709, 0.00808001, 0.00767000, 138.694780
20160106, 010000, 0.00777731, 0.00800001, 0.00763572, 87.8791378
20160107, 010000, 0.00760619, 0.00800013, 0.00760619, 115.674144
20160108, 010000, 0.00721108, 0.00769533, 0.00712581, 179.693437
20160109, 010000, 0.00732704, 0.00757319, 0.00711503, 95.3840335
20160110, 010000, 0.00710002, 0.00749990, 0.00700000, 105.159521
20160111, 010000, 0.00699800, 0.00749437, 0.00632693, 361.929299
20160112, 010000, 0.00665015, 0.00735522, 0.00659339, 224.362812
20160113, 010000, 0.00710000, 0.00713998, 0.00652910, 185.076287
20160114, 010000, 0.00779876, 0.00795000, 0.00700371, 165.680696
20160115, 010000, 0.00882087, 0.00899996, 0.00760304, 477.150444
20160116, 010000, 0.01050000, 0.01110997, 0.00847994, 937.503956
20160117, 010000, 0.01045527, 0.01108085, 0.00960330, 619.875375
20160118, 010000, 0.01179051, 0.01389000, 0.00970006, 1585.94178
20160119, 010000, 0.01091948, 0.01230000, 0.01013000, 729.385617
20160120, 010000, 0.01110010, 0.01160000, 0.01000000, 548.688900
20160121, 010000, 0.01132109, 0.01161842, 0.01025507, 491.245054
20160122, 010000, 0.01450234, 0.01700000, 0.01094130, 1303.30264
20160123, 010000, 0.01295115, 0.01498888, 0.01122000, 2025.26175
20160124, 010000, 0.01165173, 0.01325000, 0.01061000, 1245.37126
20160125, 010000, 0.00986115, 0.01201897, 0.00902110, 819.110825
20160126, 010000, 0.01039965, 0.01104248, 0.00953500, 654.545978
20160127, 010000, 0.01099998, 0.01223997, 0.00990278, 826.753042
20160128, 010000, 0.01077763, 0.01149998, 0.01001000, 580.020116
20160129, 010000, 0.01111489, 0.01145097, 0.01051859, 299.426060
20160130, 010000, 0.01149999, 0.01181282, 0.01081298, 290.059102
20160131, 010000, 0.01054257, 0.01174880, 0.01037500, 306.643580
20160201, 010000, 0.01099141, 0.01137998, 0.01056118, 180.583192
20160202, 010000, 0.01118039, 0.01160000, 0.01085659, 207.393044
20160203, 010000, 0.01089536, 0.01132187, 0.01071768, 202.553603
20160204, 010000, 0.01130330, 0.01144879, 0.01076764, 183.980312
20160205, 010000, 0.01106033, 0.01145000, 0.01079269, 255.569902
20160206, 010000, 0.01128061, 0.01131572, 0.01095000, 148.050873
20160207, 010000, 0.01101542, 0.01128329, 0.01095000, 117.610814
20160208, 010000, 0.01135618, 0.01149999, 0.01101542, 231.788628
20160209, 010000, 0.01111139, 0.01135613, 0.01097000, 154.096841
20160210, 010000, 0.01060492, 0.01119972, 0.01000001, 489.237708
20160211, 010000, 0.01013926, 0.01088230, 0.00940000, 305.058874
20160212, 010000, 0.01002000, 0.01076788, 0.00833686, 681.654850
20160213, 010000, 0.00968930, 0.01012997, 0.00930000, 193.424930
20160214, 010000, 0.00949299, 0.00998997, 0.00897373, 203.727653
20160215, 010000, 0.01002337, 0.01049980, 0.00901200, 170.670803
20160216, 010000, 0.00999000, 0.01047734, 0.00933200, 199.506768
20160217, 010000, 0.00873944, 0.01004192, 0.00834524, 416.088482
20160218, 010000, 0.00802659, 0.00930000, 0.00734396, 452.314630
20160219, 010000, 0.00878985, 0.00886394, 0.00775001, 274.225373
20160220, 010000, 0.00843205, 0.00901252, 0.00815890, 214.819168
20160221, 010000, 0.00863106, 0.00880954, 0.00810000, 168.193088
20160222, 010000, 0.00917976, 0.00980000, 0.00853422, 383.402047
20160223, 010000, 0.00938983, 0.00978088, 0.00890247, 419.021541
20160224, 010000, 0.00903765, 0.00969999, 0.00889042, 330.139845
20160225, 010000, 0.00923042, 0.00969902, 0.00903919, 216.302417
20160226, 010000, 0.00901581, 0.00944208, 0.00900010, 172.876739
20160227, 010000, 0.00916475, 0.00950000, 0.00901708, 118.821450
20160228, 010000, 0.00936908, 0.00957000, 0.00910000, 200.246319
20160229, 010000, 0.00900276, 0.00942362, 0.00885290, 255.915552
20160301, 010000, 0.00914992, 0.00930000, 0.00876831, 186.990994
20160302, 010000, 0.00910898, 0.00947900, 0.00870101, 323.789453
20160303, 010000, 0.00913977, 0.00932000, 0.00899212, 131.592782
20160304, 010000, 0.01180001, 0.01189811, 0.00906000, 1374.13810
20160305, 010000, 0.01155027, 0.01222000, 0.01039651, 1016.43365
20160306, 010000, 0.01230078, 0.01349997, 0.01155027, 1357.80612
20160307, 010000, 0.01157990, 0.01258900, 0.01050000, 685.492921
20160308, 010000, 0.01014985, 0.01159980, 0.01005888, 529.846725
20160309, 010000, 0.01130001, 0.01136000, 0.01012000, 292.900373
20160310, 010000, 0.01090001, 0.01146933, 0.01079789, 297.329935
20160311, 010000, 0.01220000, 0.01278123, 0.01090001, 1033.43584
20160312, 010000, 0.01204373, 0.01286100, 0.01192034, 516.457542
20160313, 010000, 0.01320112, 0.01350000, 0.01188579, 635.229636
20160314, 010000, 0.01324440, 0.01470011, 0.01267000, 1354.91520
20160315, 010000, 0.01292911, 0.01446831, 0.01278900, 527.444067
20160316, 010000, 0.01436551, 0.01461159, 0.01278900, 729.598288
20160317, 010000, 0.01468233, 0.01600000, 0.01382111, 1783.88079
20160318, 010000, 0.01428347, 0.01478962, 0.01332000, 836.375243
20160319, 010000, 0.01414284, 0.01471396, 0.01340001, 503.338710
20160320, 010000, 0.01425018, 0.01501731, 0.01400002, 410.616702
20160321, 010000, 0.01509993, 0.01536156, 0.01420525, 352.179139
20160322, 010000, 0.01455937, 0.01587014, 0.01412561, 724.457194
20160323, 010000, 0.01440061, 0.01501008, 0.01416882, 337.948543
20160324, 010000, 0.01559671, 0.01600000, 0.01439956, 917.156691
20160325, 010000, 0.01697900, 0.01748000, 0.01499990, 902.187715
20160326, 010000, 0.01719217, 0.01809996, 0.01667956, 1456.86170
20160327, 010000, 0.01728491, 0.01763000, 0.01685447, 329.701079
20160328, 010000, 0.01568749, 0.01754998, 0.01560974, 967.434881
20160329, 010000, 0.01667557, 0.01757522, 0.01511842, 891.708221
20160330, 010000, 0.01709999, 0.01721967, 0.01640000, 303.270714
20160331, 010000, 0.01654025, 0.01725000, 0.01610000, 551.153368
20160401, 010000, 0.01650000, 0.01683936, 0.01610000, 364.772676
20160402, 010000, 0.01709961, 0.01720000, 0.01635011, 263.169286
20160403, 010000, 0.01687237, 0.01720727, 0.01670248, 200.141970
20160404, 010000, 0.01643884, 0.01700035, 0.01577701, 672.431341
20160405, 010000, 0.01698538, 0.01710000, 0.01634801, 412.186954
20160406, 010000, 0.01681645, 0.01750000, 0.01645480, 484.801067
20160407, 010000, 0.01662313, 0.01707959, 0.01638764, 251.301063
20160408, 010000, 0.01650002, 0.01688579, 0.01624541, 178.990688
20160409, 010000, 0.01638770, 0.01686634, 0.01627000, 302.389843
20160410, 010000, 0.01600001, 0.01660000, 0.01471645, 1273.99020
20160411, 010000, 0.01547675, 0.01645000, 0.01439596, 1422.85168
20160412, 010000, 0.01509903, 0.01572404, 0.01470000, 371.083930
20160413, 010000, 0.01526136, 0.01545000, 0.01488089, 490.822779
20160414, 010000, 0.01522259, 0.01550955, 0.01495370, 297.247896
20160415, 010000, 0.01475998, 0.01529999, 0.01450002, 275.025430
20160416, 010000, 0.01432283, 0.01479998, 0.01380000, 436.795757
20160417, 010000, 0.01467126, 0.01510000, 0.01399393, 442.751685
20160418, 010000, 0.01467489, 0.01510000, 0.01408934, 292.663119
20160419, 010000, 0.01474606, 0.01483000, 0.01418100, 167.762748
20160420, 010000, 0.01476464, 0.01519389, 0.01448953, 287.559644
20160421, 010000, 0.01446620, 0.01500000, 0.01427281, 236.264975
20160422, 010000, 0.01427425, 0.01446580, 0.01367000, 259.561551
20160423, 010000, 0.01420822, 0.01427425, 0.01364322, 222.945322
20160424, 010000, 0.01432946, 0.01466692, 0.01381200, 294.953300
20160425, 010000, 0.01397043, 0.01455138, 0.01365473, 265.955887
20160426, 010000, 0.01322355, 0.01411500, 0.01310298, 354.685941
20160427, 010000, 0.01290556, 0.01331203, 0.01251771, 333.135817
20160428, 010000, 0.01445573, 0.01489996, 0.01288350, 776.354361
20160429, 010000, 0.01483871, 0.01489909, 0.01396781, 317.474775
20160430, 010000, 0.01455428, 0.01485000, 0.01435100, 260.275080
20160501, 010000, 0.01491091, 0.01539900, 0.01440447, 384.474017
20160502, 010000, 0.01493151, 0.01530000, 0.01475600, 248.333463
20160503, 010000, 0.01533074, 0.01558000, 0.01462914, 387.444314
20160504, 010000, 0.01524828, 0.01540000, 0.01501147, 212.996088
20160505, 010000, 0.01516120, 0.01546170, 0.01505761, 132.606808
20160506, 010000, 0.01513325, 0.01540000, 0.01504408, 127.368746
20160507, 010000, 0.01480962, 0.01513324, 0.01462000, 151.937954
20160508, 010000, 0.01450475, 0.01480967, 0.01401656, 264.717500
20160509, 010000, 0.01452372, 0.01479993, 0.01423323, 215.064825
20160510, 010000, 0.01436939, 0.01457916, 0.01418001, 120.094730
20160511, 010000, 0.01494190, 0.01520974, 0.01425974, 363.771357
20160512, 010000, 0.01493065, 0.01517000, 0.01461996, 244.489186
20160513, 010000, 0.01529319, 0.01560443, 0.01473931, 282.746768
20160514, 010000, 0.01507295, 0.01543308, 0.01485418, 194.247864
20160515, 010000, 0.01517378, 0.01540000, 0.01488154, 158.981398
20160516, 010000, 0.01662245, 0.01698000, 0.01500277, 558.902543
20160517, 010000, 0.01609495, 0.01694999, 0.01570000, 468.353316
20160518, 010000, 0.01602114, 0.01622217, 0.01584189, 163.830249
20160519, 010000, 0.01662800, 0.01690770, 0.01595102, 241.858194
20160520, 010000, 0.01820008, 0.01898060, 0.01659546, 664.932925
20160521, 010000, 0.01781189, 0.01950006, 0.01746677, 581.777723
20160522, 010000, 0.01828641, 0.01898769, 0.01750000, 333.178053
20160523, 010000, 0.01813164, 0.01897111, 0.01788253, 284.339729
20160524, 010000, 0.01819416, 0.01852033, 0.01783801, 250.053050
20160525, 010000, 0.01703588, 0.01835684, 0.01662566, 425.306222
20160526, 010000, 0.01686356, 0.01731386, 0.01650000, 177.923747
20160527, 010000, 0.01487082, 0.01721642, 0.01468522, 440.413827
20160528, 010000, 0.01502264, 0.01610000, 0.01485000, 336.773736
20160529, 010000, 0.01615756, 0.01650000, 0.01467298, 453.980851
20160530, 010000, 0.01537793, 0.01632964, 0.01480000, 296.694835
20160531, 010000, 0.01525601, 0.01558233, 0.01510000, 101.017366
20160601, 010000, 0.01515000, 0.01575842, 0.01500000, 267.401853
20160602, 010000, 0.01512085, 0.01567489, 0.01490792, 192.198296
20160603, 010000, 0.01504414, 0.01534855, 0.01420550, 365.801737
20160604, 010000, 0.01365362, 0.01520844, 0.01360281, 480.652524
20160605, 010000, 0.01346000, 0.01446096, 0.01340000, 372.494347
20160606, 010000, 0.01349982, 0.01388021, 0.01304213, 434.672624
20160607, 010000, 0.01349690, 0.01372678, 0.01295016, 252.815288
20160608, 010000, 0.01341695, 0.01395322, 0.01321058, 191.537682
20160609, 010000, 0.01343358, 0.01397846, 0.01327828, 199.544126
20160610, 010000, 0.01399828, 0.01412603, 0.01334020, 233.966926
20160611, 010000, , , , 
20160612, 010000, 0.01260563, 0.01361125, 0.01218516, 743.758257
20160613, 010000, 0.01125000, 0.01258623, 0.01089596, 711.917115
20160614, 010000, 0.01142998, 0.01175745, 0.01071000, 487.685237
20160615, 010000, 0.01222927, 0.01259999, 0.01136650, 489.646718
20160616, 010000, 0.01146700, 0.01268900, 0.01143989, 388.105311
20160617, 010000, 0.01134741, 0.01166892, 0.01100750, 293.878009
20160618, 010000, 0.01135000, 0.01149740, 0.01067758, 296.277908
20160619, 010000, 0.01083678, 0.01158600, 0.01050000, 394.444919
20160620, 010000, 0.01052711, 0.01097187, 0.01036112, 195.484558
20160621, 010000, 0.01153942, 0.01233028, 0.01041000, 487.076610
20160622, 010000, 0.01170818, 0.01215550, 0.01130000, 381.922596
20160623, 010000, 0.01247264, 0.01283311, 0.01161000, 506.109135
20160624, 010000, 0.01107066, 0.01255755, 0.01029000, 476.445661
20160625, 010000, 0.01013033, 0.01140000, 0.00945003, 483.716668
20160626, 010000, 0.01078370, 0.01099376, 0.00980105, 236.807301
20160627, 010000, 0.01063763, 0.01106615, 0.01057352, 194.731291
20160628, 010000, 0.01070584, 0.01093856, 0.01038000, 183.508365
20160629, 010000, 0.01102577, 0.01106615, 0.01052603, 167.841195
20160630, 010000, 0.01116615, 0.01127764, 0.01080000, 178.587687
20160701, 010000, 0.01081997, 0.01128118, 0.01045001, 200.147834
20160702, 010000, 0.01060903, 0.01097232, 0.01052000, 101.089673
20160703, 010000, 0.01055020, 0.01074706, 0.01000000, 228.413076
20160704, 010000, 0.01056714, 0.01086028, 0.01050000, 157.057218
20160705, 010000, 0.01023320, 0.01070188, 0.01001009, 95.6634617
20160706, 010000, 0.01035000, 0.01055000, 0.01015959, 137.861776
20160707, 010000, 0.01085803, 0.01114730, 0.01025000, 188.897229
20160708, 010000, 0.01102079, 0.01164254, 0.01028427, 372.870033
20160709, 010000, 0.01096958, 0.01150000, 0.01065000, 217.656572
20160710, 010000, 0.01146675, 0.01157866, 0.01077480, 172.164248
20160711, 010000, 0.01194003, 0.01285000, 0.01132888, 328.421810
20160712, 010000, 0.01217255, 0.01257000, 0.01181483, 511.518862
20160713, 010000, 0.01170491, 0.01256998, 0.01160000, 327.625252
20160714, 010000, 0.01188093, 0.01209999, 0.01160552, 146.191749
20160715, 010000, 0.01183651, 0.01188093, 0.01154619, 92.0194111
20160716, 010000, 0.01245993, 0.01281042, 0.01170597, 309.817906
20160717, 010000, 0.01243139, 0.01255000, 0.01219529, 142.491088
20160718, 010000, 0.01201725, 0.01250075, 0.01183002, 138.612748
20160719, 010000, 0.01260557, 0.01261004, 0.01189400, 182.383899
20160720, 010000, 0.01239994, 0.01282935, 0.01238001, 241.988619
20160721, 010000, 0.01261001, 0.01279866, 0.01235400, 122.048188
20160722, 010000, 0.01399999, 0.01417523, 0.01247554, 556.580739
20160723, 010000, 0.01390101, 0.01469999, 0.01381675, 671.187383
20160724, 010000, 0.01413678, 0.01450094, 0.01387163, 215.917726
20160725, 010000, 0.01379026, 0.01439693, 0.01358837, 276.273855
20160726, 010000, 0.01402536, 0.01423421, 0.01367712, 181.752037
20160727, 010000, 0.01362398, 0.01400000, 0.01298872, 559.100852
20160728, 010000, 0.01404046, 0.01430000, 0.01352238, 266.735236
20160729, 010000, 0.01430000, 0.01430000, 0.01393589, 131.670206
20160730, 010000, 0.01415000, 0.01450000, 0.01405517, 171.324605
20160731, 010000, 0.01447855, 0.01450000, 0.01400000, 164.146683
20160801, 010000, 0.01546935, 0.01688787, 0.01432500, 990.427369
20160802, 010000, 0.01632751, 0.01677000, 0.01531000, 891.257805
20160803, 010000, 0.01699393, 0.01933000, 0.01574829, 1819.32825
20160804, 010000, 0.01618688, 0.01700000, 0.01596176, 560.328383
20160805, 010000, 0.01657052, 0.01689000, 0.01607392, 286.134092
20160806, 010000, 0.01787917, 0.01838000, 0.01640001, 467.495479
20160807, 010000, 0.01766100, 0.01828000, 0.01725628, 464.850684
20160808, 010000, 0.01730706, 0.01809568, 0.01710506, 420.090152
20160809, 010000, 0.01788479, 0.01787204, 0.01702573, 259.255342
20160810, 010000, 0.01776953, 0.01808000, 0.01739990, 341.104596
20160811, 010000, 0.01794965, 0.01795000, 0.01721549, 262.534804
20160812, 010000, 0.01876806, 0.01908000, 0.01778800, 704.982142
20160813, 010000, 0.02072420, 0.02224471, 0.01871000, 2534.11754
20160814, 010000, 0.02247382, 0.02330080, 0.02051000, 2227.82236
20160815, 010000, 0.02292994, 0.02668645, 0.02238348, 6505.89262
20160816, 010000, 0.02033699, 0.02401643, 0.02000000, 4786.37590
20160817, 010000, 0.02202588, 0.02289999, 0.02015000, 2259.87493
20160818, 010000, 0.02196023, 0.02259842, 0.02111112, 1055.97705
20160819, 010000, 0.02494999, 0.02510999, 0.02192005, 3063.36706
20160820, 010000, 0.02319999, 0.02590000, 0.02290000, 3367.97849
